Product Name,Category,Brand,Description,Buying Price,Selling Price,Quantity
SEIKEN BRAKE OIL,OIL,,,321,370,24
U S OIL TREATMENT,OIL,,,180,220,24
VESLEE ATF POWER OIL,OIL,,,167,200,12
GUARD BRAKE OIL,OIL,,,146,170,48
