Product Name,Category,Brand,Description,Buying Price,Selling Price,Quantity,,
ZIC X1000 50 4 LTR,OIL,ZIC,,1156,1550,8,,
ZIC X1 20/50 4 LTR,OIL,ZIC,,1636,2050,18,,
ZIC X1 20/50 3 LTR,OIL,ZIC,,1227,1600,12,,
ZIC M1 20/50 1 LTR,OIL,ZIC,,324,450,60,,
ZIC M3 20/50 1 LTR,OIL,ZIC,,349,480,36,,
ZIC M3 20/50 0.7 LTR,OIL,ZIC,,252,320,36,,
ZIC M7 10/40 0.7 LTR,OIL,ZIC,,330,400,24,,
ZIC M5 20/40 1 LTR,OIL,ZIC,,405,500,24,,
ZIC M5 20/40 0.7 LTR,OIL,ZIC,,295,350,60,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
